Dataset,Labeling,Type
SARD,Synthetic,Mixed
Juliet C/C++,Synthetic,Synthetic
Juliet Java,Synthetic,Synthetic
VulDeePecker,Security Vendor,Mixed
Draper VDISC,Tool,Mixed
Devign,Developer,Real (Balanced)
Big-Vul,Security Vendor,Real (Imbalanced)
D2A,Tool,Real (Imbalanced)
ReVeal,Developer,Real (Imbalanced)
CVEfixes,Security Vendor,Real (Imbalanced)
CrossVul,Security Vendor,Real (Balanced)
SecurityEval,Synthetic,Mixed
SVEN,Developer,Real (Balanced)
DiverseVul,Developer,Real (Imbalanced)
FormAI,Tool,Synthetic
ReposVul,Tool,Real (Imbalanced)
PrimeVul,Security Vendor,Real (Imbalanced)
MegaVul,Security Vendor,Real (Imbalanced)
CleanVul,Developer,Real (Balanced)
PairVul,Security Vendor,Real (Balanced)
